count,from,to,timeframe,start,end
216,gervasi97908962,facuurban,95,2020-06-17 10:36:24,2020-06-17 11:25:21
217,paivamajo,arsenal,96,2020-06-17 10:36:30,2020-06-17 11:25:21
218,paivamajo,mancity,96,2020-06-17 10:36:30,2020-06-17 11:25:21
219,datosnomitos,esas1790,97,2020-06-17 10:36:31,2020-06-17 11:25:21
220,uydeporte,anep_uruguay,98,2020-06-17 10:36:41,2020-06-17 11:25:21
221,uydeporte,robertsilva1971,98,2020-06-17 10:36:41,2020-06-17 11:25:21
222,uydeporte,sebabauza61,98,2020-06-17 10:36:41,2020-06-17 11:25:21
223,oscarsito1956,opinemoshoy,99,2020-06-17 10:36:54,2020-06-17 11:25:21
224,yorgig13,elanonimo69,100,2020-06-17 10:37:27,2020-06-17 11:25:21
225,yorgig13,nicobarte16,100,2020-06-17 10:37:27,2020-06-17 11:25:21
226,yorgig13,invictossomos,100,2020-06-17 10:37:27,2020-06-17 11:25:21
227,yorgig13,hirvinglozano70,100,2020-06-17 10:37:27,2020-06-17 11:25:21
228,claudiamiki3,fanatik_lionn,101,2020-06-17 10:37:39,2020-06-17 11:25:21
229,rofolfo80390831,mer1803,102,2020-06-17 10:37:52,2020-06-17 11:25:21
230,daniloorona,wenova6,103,2020-06-17 10:37:57,2020-06-17 11:25:21
231,julianforscht,goodishintent,103,2020-06-17 10:37:57,2020-06-17 11:25:21
232,julianforscht,drphiliplee1,103,2020-06-17 10:37:57,2020-06-17 11:25:21
233,pipa0_0,francopaez21,104,2020-06-17 10:38:02,2020-06-17 11:25:21
234,pipa0_0,cuarentinix,104,2020-06-17 10:38:02,2020-06-17 11:25:21
235,pipa0_0,garridoandres10,104,2020-06-17 10:38:02,2020-06-17 11:25:21
236,pipa0_0,mstutzz,104,2020-06-17 10:38:02,2020-06-17 11:25:21
237,leofresco2,javi75k,105,2020-06-17 10:38:07,2020-06-17 11:25:21
238,leofresco2,juanpedro1950,105,2020-06-17 10:38:07,2020-06-17 11:25:21
239,luismarga05,asinosva850,106,2020-06-17 10:38:33,2020-06-17 11:25:21
240,birarasta,juanan_durismo,107,2020-06-17 10:38:35,2020-06-17 11:25:21
241,albericobarrios,anep_uruguay,108,2020-06-17 10:38:48,2020-06-17 11:25:21
242,albericobarrios,sebabauza61,108,2020-06-17 10:38:48,2020-06-17 11:25:21
243,albericobarrios,robertsilva1971,108,2020-06-17 10:38:48,2020-06-17 11:25:21
244,gervasi97908962,floridaidf,109,2020-06-17 10:38:56,2020-06-17 11:25:21
245,gervasi97908962,andreabrugman,109,2020-06-17 10:38:56,2020-06-17 11:25:21
246,gervasi97908962,uruguay_natural,109,2020-06-17 10:38:56,2020-06-17 11:25:21
247,gervasi97908962,regioncentrosur,109,2020-06-17 10:38:56,2020-06-17 11:25:21
